Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",C_Elec_8x10.2,2,1000uF,
"C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C3, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C4, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C5, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C6, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C7, C70, C71, C72, C73, C74, C75, C8, C9",0402,73,0.1uF,
J1,PinSocket_1x06_P2.54mm_Vertical,1,SPH0645 Breakout,
J2,PinSocket_1x07_P2.54mm_Vertical,1,MAX98357A Breakout,
J3,PinSocket_1x06_P2.54mm_Vertical,1,SD Card Module Breakout,
J4,TerminalBlock_MetzConnect_Type011_RT05502HBWC_1x02_P5.00mm_Horizontal,1,Screw_Terminal_01x02,
"J5, J6",PinHeader_1x15_P2.54mm_Vertical,2,Conn_01x15_Pin,
R1,0402,1,330,
"R10, R11, R6, R7, R8, R9",0402,6,75K,
"R2, R3, R4, R5",0402,4,4.7k,
U1,ESP32_30pin,1,~,
"U10, U11, U12, U13, U15, U16, U17, U18, U19, U2, U20, U21, U22, U23, U24, U25, U26, U28, U29, U3, U30, U31, U32, U33, U34, U35, U36, U37, U38, U39, U4, U41, U42, U43, U44, U45, U46, U47, U48, U49, U5, U50, U51, U52, U54, U55, U56, U57, U58, U59, U6, U60, U61, U62, U63, U64, U65, U67, U68, U69, U7, U70, U8, U9",Touch_LED_Tile,64,~,
"U14, U27, U40, U53, U66, U71",UQFN-20_3x3mm_P0.4mm,6,MPR121QR2,
