Designator,Mid X,Mid Y,Rotation,Layer
C1,173.484999,-34.345,0.0,bottom
C10,102.7,-62.28246,90.0,bottom
C11,122.7,-62.28246,90.0,bottom
C12,142.7,-62.28246,90.0,bottom
C13,162.7,-62.28246,90.0,bottom
C14,182.7,-62.28246,90.0,bottom
C15,102.3991,-71.06906,0.0,bottom
C16,42.7,-102.28246,90.0,bottom
C17,62.7,-102.28246,90.0,bottom
C18,82.7,-102.28246,90.0,bottom
C19,102.7,-102.28246,90.0,bottom
C2,125.5,-44.0,90.0,top
C20,122.7,-102.28246,90.0,bottom
C21,142.7,-102.28246,90.0,bottom
C22,162.7,-102.28246,90.0,bottom
C23,182.7,-102.28246,90.0,bottom
C24,42.7,-82.28246,90.0,bottom
C25,62.7,-82.28246,90.0,bottom
C26,82.7,-82.28246,90.0,bottom
C27,102.7,-82.28246,90.0,bottom
C28,102.3947,-91.0,0.0,bottom
C29,122.7,-142.28246,90.0,bottom
C3,122.7,-82.28246,90.0,bottom
C30,142.7,-142.28246,90.0,bottom
C31,162.7,-142.28246,90.0,bottom
C32,182.7,-142.28246,90.0,bottom
C33,42.7,-122.28246,90.0,bottom
C34,62.7,-122.28246,90.0,bottom
C35,82.7,-122.28246,90.0,bottom
C36,102.7,-122.28246,90.0,bottom
C37,122.7,-122.28246,90.0,bottom
C38,142.7,-122.28246,90.0,bottom
C39,162.7,-122.28246,90.0,bottom
C4,142.7,-82.28246,90.0,bottom
C40,182.7,-122.28246,90.0,bottom
C41,102.7397,-131.0,0.0,bottom
C42,42.7,-162.28246,90.0,bottom
C43,62.7,-162.28246,90.0,bottom
C44,82.7,-162.28246,90.0,bottom
C45,102.7,-162.28246,90.0,bottom
C46,122.7,-162.28246,90.0,bottom
C47,142.7,-162.28246,90.0,bottom
C48,162.7,-162.28246,90.0,bottom
C49,182.7,-162.28246,90.0,bottom
C5,162.7,-82.28246,90.0,bottom
C50,42.7,-142.28246,90.0,bottom
C51,62.7,-142.28246,90.0,bottom
C52,82.7,-142.28246,90.0,bottom
